week,weekly_counts,china_weekly_pre_counts,china_weekly_counts,xenophobic_weekly_counts,china,china_virus,chinese_virus,wuhan_virus,china_youtube,china_virus_youtube,chinese_virus_youtube,wuhan_virus_youtube
2020-01-05,0,0,0,0,30,1,1,0,43,0,0,0
2020-01-12,0,0,0,0,32,3,2,1,50,1,0,0
2020-01-19,0,0,0,0,59,100,55,72,69,50,12,50
2020-01-26,1,1,1,0,70,92,43,100,90,90,25,100
2020-02-02,6,5,1,0,53,39,19,37,75,64,11,35
2020-02-09,2,2,2,0,47,31,13,25,69,59,10,23
2020-02-16,0,0,0,0,40,19,10,14,59,27,6,11
2020-02-23,0,0,0,0,48,27,15,17,63,37,6,10
2020-03-01,22,3,0,0,51,29,15,14,62,37,15,11
2020-03-08,21,4,2,0,69,52,22,29,77,55,14,16
2020-03-15,56,8,7,1,100,78,100,32,100,100,100,27
2020-03-22,83,14,12,7,83,69,47,20,77,60,51,15
2020-03-29,41,2,2,1,73,39,26,14,68,34,24,13
2020-04-05,38,1,0,0,60,23,16,12,66,22,10,12
2020-04-12,33,8,2,1,59,18,15,14,60,19,15,20
2020-04-19,26,5,2,0,50,11,9,8,49,12,5,8
2020-04-26,41,2,1,1,44,8,6,6,47,8,2,5
2020-05-03,25,1,0,1,45,7,6,5,41,7,4,3
2020-05-10,10,3,1,0,44,5,5,4,44,4,2,2
2020-05-17,19,4,1,0,45,5,3,3,37,3,2,0
2020-05-24,13,1,0,0,41,3,2,2,40,3,0,1
2020-05-31,14,4,1,1,36,2,2,1,34,1,1,1
2020-06-07,2,0,0,0,32,2,1,1,33,3,1,1
2020-06-14,3,0,0,0,42,3,2,1,42,2,2,0
2020-06-21,4,0,0,0,34,2,3,1,39,3,1,1
2020-06-28,8,2,0,0,39,13,4,1,39,5,2,1
2020-07-05,7,1,0,0,40,6,3,2,43,4,3,1
2020-07-12,7,5,5,5,37,4,2,1,41,3,1,1
2020-07-19,5,1,0,0,38,4,2,1,46,3,2,0
2020-07-26,6,2,2,2,43,3,2,1,43,2,1,0
2020-08-02,23,4,4,4,37,3,2,1,43,3,1,1
2020-08-09,8,5,4,3,33,3,1,1,37,3,2,0
2020-08-16,3,3,0,0,31,2,1,1,36,2,2,1
2020-08-23,12,0,0,0,30,2,1,1,34,2,2,1
2020-08-30,2,0,0,0,31,2,1,1,38,1,2,0
2020-09-06,8,3,3,3,33,2,1,1,39,0,1,0
2020-09-13,10,5,4,4,32,3,3,2,36,4,3,1
2020-09-20,10,1,1,1,30,2,2,1,37,1,1,0
2020-09-27,3,0,0,0,31,2,2,0,36,0,1,0
2020-10-04,6,0,0,0,30,2,4,1,35,2,1,0
2020-10-11,10,3,3,3,32,2,1,1,34,2,2,1
2020-10-18,8,1,1,1,35,2,2,0,37,1,1,0
2020-10-25,3,0,0,0,31,2,1,0,34,2,0,1
2020-11-01,11,2,1,1,25,1,1,0,31,2,0,2
2020-11-08,1,0,0,0,29,1,1,0,31,1,0,1
2020-11-15,3,0,0,0,31,2,1,1,30,1,1,1
2020-11-22,6,1,1,1,29,1,1,1,30,1,0,1
2020-11-29,2,0,0,0,30,2,1,0,27,1,1,2
2020-12-06,0,0,0,0,32,2,1,1,30,1,2,0
2020-12-13,3,1,1,1,33,2,1,0,30,2,1,1
2020-12-20,2,2,2,2,34,2,1,1,31,0,0,1
2020-12-27,2,2,2,2,34,2,1,1,31,2,0,0
