week,average_approval,Country/Region_x,death_us,death_changes_us,Country/Region_y,death_chn,death_changes_chn
2020-01-05,42.942000285714286,0,0.0,0.0,0,0.0,0.0
2020-01-12,43.43856457142857,0,0.0,0.0,0,0.0,0.0
2020-01-19,44.013597000000004,0,0.0,0.0,0,0.0,0.0
2020-01-26,44.446791142857144,US,0.0,0.0,China,56.0,56.0
2020-02-02,44.145621285714284,US,0.0,0.0,China,361.0,305.0
2020-02-09,44.15223242857143,US,0.0,0.0,China,905.0,544.0
2020-02-16,44.80095642857143,US,0.0,0.0,China,1766.0,861.0
2020-02-23,44.086127714285716,US,0.0,0.0,China,2445.0,679.0
2020-03-01,43.53342042857143,US,1.0,1.0,China,2872.0,427.0
2020-03-08,43.452441,US,21.0,20.0,China,3100.0,228.0
2020-03-15,43.626534142857146,US,70.0,49.0,China,3204.0,104.0
2020-03-22,45.49980085714286,US,603.0,533.0,China,3277.0,73.0
2020-03-29,45.887541,US,3573.0,2970.0,China,3313.0,36.0
2020-04-05,45.20342171428571,US,13227.0,9654.0,China,3357.0,44.0
2020-04-12,44.559389,US,28203.0,14976.0,China,3381.0,24.0
2020-04-19,43.959294285714286,US,43510.0,15307.0,China,4687.0,1306.0
2020-04-26,43.03388114285714,US,58354.0,14844.0,China,4696.0,9.0
2020-05-03,43.94433628571428,US,71492.0,13138.0,China,4699.0,3.0
2020-05-10,44.30745971428571,US,83505.0,12013.0,China,4703.0,4.0
2020-05-17,43.42083885714286,US,93191.0,9686.0,China,4705.0,2.0
2020-05-24,42.92086728571429,US,101410.0,8219.0,China,4706.0,1.0
2020-05-31,42.549682000000004,US,107857.0,6447.0,China,4708.0,2.0
2020-06-07,41.81081657142857,US,113569.0,5712.0,China,4708.0,0.0
2020-06-14,42.099146714285716,US,118522.0,4953.0,China,4708.0,0.0
2020-06-21,41.18756857142857,US,122642.0,4120.0,China,4710.0,2.0
2020-06-28,40.94798185714286,US,126512.0,3870.0,China,4713.0,3.0
2020-07-05,40.881144285714285,US,130201.0,3689.0,China,4713.0,0.0
2020-07-12,40.97688085714286,US,135632.0,5431.0,China,4713.0,0.0
2020-07-19,40.86608714285715,US,141197.0,5565.0,China,4718.0,5.0
2020-07-26,41.39479885714286,US,147744.0,6547.0,China,4724.0,6.0
2020-08-02,42.00902385714286,US,155535.0,7791.0,China,4740.0,16.0
2020-08-09,42.15645514285715,US,162916.0,7381.0,China,4757.0,17.0
2020-08-16,42.179017571428574,US,170034.0,7118.0,China,4775.0,18.0
2020-08-23,42.92532285714286,US,176057.0,6023.0,China,4783.0,8.0
2020-08-30,44.09143157142857,US,182309.0,6252.0,China,4795.0,12.0
2020-09-06,43.428137142857146,US,188127.0,5818.0,China,4802.0,7.0
2020-09-13,43.843838000000005,US,193202.0,5075.0,China,4808.0,6.0
2020-09-20,43.67148614285714,US,198474.0,5272.0,China,4811.0,3.0
2020-09-27,44.42835914285714,US,203835.0,5361.0,China,4813.0,2.0
2020-10-04,43.69015942857143,US,208798.0,4963.0,China,4813.0,0.0
2020-10-11,43.42096071428572,US,213897.0,5099.0,China,4813.0,0.0
2020-10-18,42.87818085714286,US,219042.0,5145.0,China,4814.0,1.0
2020-10-25,44.19038185714286,US,224920.0,5878.0,China,4814.0,0.0
2020-11-01,45.33334085714286,US,231054.0,6134.0,China,4814.0,0.0
2020-11-08,45.40400471428571,US,238587.0,7533.0,China,4818.0,4.0
2020-11-15,44.601016,US,246908.0,8321.0,China,4822.0,4.0
2020-11-22,44.105118714285716,US,258178.0,11270.0,China,4822.0,0.0
2020-11-29,43.743131999999996,US,269192.0,11014.0,China,4827.0,5.0
2020-12-06,44.17572614285714,US,285323.0,16131.0,China,4835.0,8.0
2020-12-13,44.453369571428574,US,302831.0,17508.0,China,4840.0,5.0
2020-12-20,43.55650442857143,US,321898.0,19067.0,China,4854.0,14.0
2020-12-27,43.274701,US,338068.0,16170.0,China,4865.0,11.0
2021-01-03,0.0,US,356837.0,18769.0,China,4887.0,22.0
